part3,part2b,part2t,part1,scope,language_type,ref_name,comment,print_name,inverted_name,m_id
aaa,,,,Individual,Living language,Ghotuo,,Ghotuo,Ghotuo,
aab,,,,Individual,Living language,Alumu-Tesu,,Alumu-Tesu,Alumu-Tesu,
aac,,,,Individual,Living language,Ari,,Ari,Ari,
aad,,,,Individual,Living language,Amal,,Amal,Amal,
aae,,,,Individual,Living language,Arbëreshë Albanian,,Arbëreshë Albanian,"Albanian, Arbëreshë",sqi
aaf,,,,Individual,Living language,Aranadan,,Aranadan,Aranadan,
aag,,,,Individual,Living language,Ambrak,,Ambrak,Ambrak,
aah,,,,Individual,Living language,Abu' Arapesh,,Abu' Arapesh,"Arapesh, Abu'",
aai,,,,Individual,Living language,Arifama-Miniafia,,Arifama-Miniafia,Arifama-Miniafia,
aak,,,,Individual,Living language,Ankave,,Ankave,Ankave,
aal,,,,Individual,Living language,Afade,,Afade,Afade,
aan,,,,Individual,Living language,Anambé,,Anambé,Anambé,
aao,,,,Individual,Living language,Algerian Saharan Arabic,,Algerian Saharan Arabic,"Arabic, Algerian Saharan",ara
aap,,,,Individual,Living language,Pará Arára,,Pará Arára,"Arára, Pará",
aaq,,,,Individual,Extinct language,Eastern Abnaki,,Eastern Abnaki,"Abnaki, Eastern",
aar,aar,aar,aa,Individual,Living language,Afar,,Afar,Afar,
aas,,,,Individual,Living language,Aasáx,,Aasáx,Aasáx,
aat,,,,Individual,Living language,Arvanitika Albanian,,Arvanitika Albanian,"Albanian, Arvanitika",sqi
aau,,,,Individual,Living language,Abau,,Abau,Abau,
aaw,,,,Individual,Living language,Solong,,Solong,Solong,
aax,,,,Individual,Living language,Mandobo Atas,,Mandobo Atas,Mandobo Atas,
aaz,,,,Individual,Living language,Amarasi,,Amarasi,Amarasi,
aba,,,,Individual,Living language,Abé,,Abé,Abé,
abb,,,,Individual,Living language,Bankon,,Bankon,Bankon,
abc,,,,Individual,Living language,Ambala Ayta,,Ambala Ayta,"Ayta, Ambala",
abd,,,,Individual,Living language,Manide,,Manide,Manide,
abe,,,,Individual,Living language,Western Abnaki,,Western Abnaki,"Abnaki, Western",
abf,,,,Individual,Living language,Abai Sungai,,Abai Sungai,Abai Sungai,
abg,,,,Individual,Living language,Abaga,,Abaga,Abaga,
abh,,,,Individual,Living language,Tajiki Arabic,,Tajiki Arabic,"Arabic, Tajiki",ara
abi,,,,Individual,Living language,Abidji,,Abidji,Abidji,
abj,,,,Individual,Extinct language,Aka-Bea,,Aka-Bea,Aka-Bea,
abk,abk,abk,ab,Individual,Living language,Abkhazian,,Abkhazian,Abkhazian,
abl,,,,Individual,Living language,Lampung Nyo,,Lampung Nyo,Lampung Nyo,
abm,,,,Individual,Living language,Abanyom,,Abanyom,Abanyom,
abn,,,,Individual,Living language,Abua,,Abua,Abua,
abo,,,,Individual,Living language,Abon,,Abon,Abon,
abp,,,,Individual,Living language,Abellen Ayta,,Abellen Ayta,"Ayta, Abellen",
abq,,,,Individual,Living language,Abaza,,Abaza,Abaza,
abr,,,,Individual,Living language,Abron,,Abron,Abron,
abs,,,,Individual,Living language,Ambonese Malay,,Ambonese Malay,"Malay, Ambonese",
abt,,,,Individual,Living language,Ambulas,,Ambulas,Ambulas,
abu,,,,Individual,Living language,Abure,,Abure,Abure,
abv,,,,Individual,Living language,Baharna Arabic,,Baharna Arabic,"Arabic, Baharna",ara
abw,,,,Individual,Living language,Pal,,Pal,Pal,
abx,,,,Individual,Living language,Inabaknon,,Inabaknon,Inabaknon,
aby,,,,Individual,Living language,Aneme Wake,,Aneme Wake,Aneme Wake,
abz,,,,Individual,Living language,Abui,,Abui,Abui,
aca,,,,Individual,Living language,Achagua,,Achagua,Achagua,
acb,,,,Individual,Living language,Áncá,,Áncá,Áncá,
acd,,,,Individual,Living language,Gikyode,,Gikyode,Gikyode,
ace,ace,ace,,Individual,Living language,Achinese,,Achinese,Achinese,
acf,,,,Individual,Living language,Saint Lucian Creole French,,Saint Lucian Creole French,"Creole French, Saint Lucian",
ach,ach,ach,,Individual,Living language,Acoli,,Acoli,Acoli,
aci,,,,Individual,Extinct language,Aka-Cari,,Aka-Cari,Aka-Cari,
ack,,,,Individual,Extinct language,Aka-Kora,,Aka-Kora,Aka-Kora,
acl,,,,Individual,Extinct language,Akar-Bale,,Akar-Bale,Akar-Bale,
acm,,,,Individual,Living language,Mesopotamian Arabic,,Mesopotamian Arabic,"Arabic, Mesopotamian",ara
acn,,,,Individual,Living language,Achang,,Achang,Achang,
acp,,,,Individual,Living language,Eastern Acipa,,Eastern Acipa,"Acipa, Eastern",
acq,,,,Individual,Living language,Ta'izzi-Adeni Arabic,,Ta'izzi-Adeni Arabic,"Arabic, Ta'izzi-Adeni",ara
acr,,,,Individual,Living language,Achi,,Achi,Achi,
acs,,,,Individual,Extinct language,Acroá,,Acroá,Acroá,
act,,,,Individual,Living language,Achterhoeks,,Achterhoeks,Achterhoeks,
acu,,,,Individual,Living language,Achuar-Shiwiar,,Achuar-Shiwiar,Achuar-Shiwiar,
acv,,,,Individual,Living language,Achumawi,,Achumawi,Achumawi,
acw,,,,Individual,Living language,Hijazi Arabic,,Hijazi Arabic,"Arabic, Hijazi",ara
acx,,,,Individual,Living language,Omani Arabic,,Omani Arabic,"Arabic, Omani",ara
acy,,,,Individual,Living language,Cypriot Arabic,,Cypriot Arabic,"Arabic, Cypriot",ara
acz,,,,Individual,Living language,Acheron,,Acheron,Acheron,
ada,ada,ada,,Individual,Living language,Adangme,,Adangme,Adangme,
adb,,,,Individual,Living language,Atauran,,Atauran,Atauran,
add,,,,Individual,Living language,Lidzonka,,Dzodinka,Dzodinka,
add,,,,Individual,Living language,Lidzonka,,Lidzonka,Lidzonka,
ade,,,,Individual,Living language,Adele,,Adele,Adele,
adf,,,,Individual,Living language,Dhofari Arabic,,Dhofari Arabic,"Arabic, Dhofari",ara
adg,,,,Individual,Living language,Andegerebinha,,Andegerebinha,Andegerebinha,
adh,,,,Individual,Living language,Adhola,,Adhola,Adhola,
adi,,,,Individual,Living language,Adi,,Adi,Adi,
adj,,,,Individual,Living language,Adioukrou,,Adioukrou,Adioukrou,
adl,,,,Individual,Living language,Galo,,Galo,Galo,
adn,,,,Individual,Living language,Adang,,Adang,Adang,
ado,,,,Individual,Living language,Abu,,Abu,Abu,
adq,,,,Individual,Living language,Adangbe,,Adangbe,Adangbe,
adr,,,,Individual,Living language,Adonara,,Adonara,Adonara,
ads,,,,Individual,Living language,Adamorobe Sign Language,,Adamorobe Sign Language,Adamorobe Sign Language,
adt,,,,Individual,Living language,Adnyamathanha,,Adnyamathanha,Adnyamathanha,
adu,,,,Individual,Living language,Aduge,,Aduge,Aduge,
adw,,,,Individual,Living language,Amundava,,Amundava,Amundava,
adx,,,,Individual,Living language,Amdo Tibetan,,Amdo Tibetan,"Tibetan, Amdo",
ady,ady,ady,,Individual,Living language,Adyghe,,Adygei,Adygei,
ady,ady,ady,,Individual,Living language,Adyghe,,Adyghe,Adyghe,
adz,,,,Individual,Living language,Adzera,,Adzera,Adzera,
aea,,,,Individual,Extinct language,Areba,,Areba,Areba,
aeb,,,,Individual,Living language,Tunisian Arabic,,Tunisian Arabic,"Arabic, Tunisian",ara
aec,,,,Individual,Living language,Saidi Arabic,,Saidi Arabic,"Arabic, Saidi",ara
aed,,,,Individual,Living language,Argentine Sign Language,,Argentine Sign Language,Argentine Sign Language,
aee,,,,Individual,Living language,Northeast Pashai,,Northeast Pashai,"Pashai, Northeast",
aee,,,,Individual,Living language,Northeast Pashai,,Northeast Pashayi,"Pashayi, Northeast",
aek,,,,Individual,Living language,Haeke,,Haeke,Haeke,
ael,,,,Individual,Living language,Ambele,,Ambele,Ambele,
aem,,,,Individual,Living language,Arem,,Arem,Arem,
aen,,,,Individual,Living language,Armenian Sign Language,,Armenian Sign Language,Armenian Sign Language,
aeq,,,,Individual,Living language,Aer,,Aer,Aer,
aer,,,,Individual,Living language,Eastern Arrernte,,Eastern Arrernte,"Arrernte, Eastern",
aes,,,,Individual,Extinct language,Alsea,,Alsea,Alsea,
aeu,,,,Individual,Living language,Akeu,,Akeu,Akeu,
aew,,,,Individual,Living language,Ambakich,,Ambakich,Ambakich,
aey,,,,Individual,Living language,Amele,,Amele,Amele,
aez,,,,Individual,Living language,Aeka,,Aeka,Aeka,
afb,,,,Individual,Living language,Gulf Arabic,,Gulf Arabic,"Arabic, Gulf",ara
afd,,,,Individual,Living language,Andai,,Andai,Andai,
afe,,,,Individual,Living language,Putukwam,,Putukwam,Putukwam,
afg,,,,Individual,Living language,Afghan Sign Language,,Afghan Sign Language,Afghan Sign Language,
afh,afh,afh,,Individual,Constructed language,Afrihili,,Afrihili,Afrihili,
afi,,,,Individual,Living language,Akrukay,,Akrukay,Akrukay,
afi,,,,Individual,Living language,Akrukay,,Chini,Chini,
afk,,,,Individual,Living language,Nanubae,,Nanubae,Nanubae,
afn,,,,Individual,Living language,Defaka,,Defaka,Defaka,
afo,,,,Individual,Living language,Eloyi,,Eloyi,Eloyi,
afp,,,,Individual,Living language,Tapei,,Tapei,Tapei,
afr,afr,afr,af,Individual,Living language,Afrikaans,,Afrikaans,Afrikaans,
afs,,,,Individual,Living language,Afro-Seminole Creole,,Afro-Seminole Creole,"Creole, Afro-Seminole",
aft,,,,Individual,Living language,Afitti,,Afitti,Afitti,
afu,,,,Individual,Living language,Awutu,,Awutu,Awutu,
afz,,,,Individual,Living language,Obokuitai,,Obokuitai,Obokuitai,
aga,,,,Individual,Extinct language,Aguano,,Aguano,Aguano,
agb,,,,Individual,Living language,Legbo,,Legbo,Legbo,
